Analyte_Abbreviation,Chemical_Name,CASRN,Treatment_Process,Test_Scale,Matrix,Matrix_Detail,Treatment_Temp_C,Treatment_Time,Condition_Details,Effectiveness_Percent,Effectiveness_Type,Measure_Details,Initial_Concentration,Initial_Details,Post_Concentration,Post_Details,Offgas_Concentration,Additional_Details,Citation,Treatment_Time_Minutes,Effectiveness_Percent_Numeric,Initial_Concentration_Numeric,Post_Concentration_Numeric,Offgas_Concentration_Numeric,Treatment_Success,Temperature_Category,Time_Category,In_Chemical_List,Standardized_Chemical_Name
PFUnA,Perfluoroundecanoic acid,2058-94-8,GAC Reactivation,Full,Treatment Media,GAC,,Not reported,Specific treatment temperature not reported. Author indicated the activation process/steam gasification typically occurs between at 1450 deg F and1800 deg F (~780-980 deg C).,,,,,,<0.97 ppt,Leachate sample from reactivated carbon,,"From Table 13.1 (page 17/22). ""The reactivated carbon sample was loaded into a column, was backwashed with approximately 8 bed volumes of NSF42 leaching protocol water (50 ppm total dissolved solids [TDSs], 0.5 ppm Cl-, and pH 6.75), was allowed to sit for 24 hours in 1 BV of water, and then sampled. These steps were repeated two additional times and the three leachate samples were composited for analysis. [...] The carbon used in this trial treated approximately 310 million gallons of drinking water with influent PFAS concentrations ranging from 0.5 to 1 ppb (µg/L)"" (page 16/22).",Matthis et al  2019,,,,0.97,,False,,,True,Perfluoroundecanoic acid
PFDoA,Perfluorododecanoic acid,307-55-1,GAC Reactivation,Full,Treatment Media,GAC,,Not reported,Specific treatment temperature not reported. Author indicated the activation process/steam gasification typically occurs between at 1450 deg F and1800 deg F (~780-980 deg C).,,,,,,<0.049 ppt,Leachate sample from reactivated carbon,,"From Table 13.1 (page 17/22). ""The reactivated carbon sample was loaded into a column, was backwashed with approximately 8 bed volumes of NSF42 leaching protocol water (50 ppm total dissolved solids [TDSs], 0.5 ppm Cl-, and pH 6.75), was allowed to sit for 24 hours in 1 BV of water, and then sampled. These steps were repeated two additional times and the three leachate samples were composited for analysis. [...] The carbon used in this trial treated approximately 310 million gallons of drinking water with influent PFAS concentrations ranging from 0.5 to 1 ppb (µg/L)"" (page 16/22).",Matthis et al  2019,,,,0.049,,False,,,True,Perfluorododecanoic acid
PFDA,Perfluorodecanoic acid,335-76-2,GAC Reactivation,Full,Treatment Media,GAC,,Not reported,Specific treatment temperature not reported. Author indicated the activation process/steam gasification typically occurs between at 1450 deg F and1800 deg F (~780-980 deg C).,,,,,,<0.27 ppt,Leachate sample from reactivated carbon,,"From Table 13.1 (page 17/22). ""The reactivated carbon sample was loaded into a column, was backwashed with approximately 8 bed volumes of NSF42 leaching protocol water (50 ppm total dissolved solids [TDSs], 0.5 ppm Cl-, and pH 6.75), was allowed to sit for 24 hours in 1 BV of water, and then sampled. These steps were repeated two additional times and the three leachate samples were composited for analysis. [...] The carbon used in this trial treated approximately 310 million gallons of drinking water with influent PFAS concentrations ranging from 0.5 to 1 ppb (µg/L)"" (page 16/22).",Matthis et al  2019,,,,0.27,,False,,,True,Perfluorodecanoic acid
PFNA,Perfluorononanoic acid,375-95-1,GAC Reactivation,Full,Treatment Media,GAC,,Not reported,Specific treatment temperature not reported. Author indicated the activation process/steam gasification typically occurs between at 1450 deg F and1800 deg F (~780-980 deg C).,,,,,,<0.24 ppt,Leachate sample from reactivated carbon,,"From Table 13.1 (page 17/22). ""The reactivated carbon sample was loaded into a column, was backwashed with approximately 8 bed volumes of NSF42 leaching protocol water (50 ppm total dissolved solids [TDSs], 0.5 ppm Cl-, and pH 6.75), was allowed to sit for 24 hours in 1 BV of water, and then sampled. These steps were repeated two additional times and the three leachate samples were composited for analysis. [...] The carbon used in this trial treated approximately 310 million gallons of drinking water with influent PFAS concentrations ranging from 0.5 to 1 ppb (µg/L)"" (page 16/22).",Matthis et al  2019,,,,0.24,,False,,,True,Perfluorononanoic acid
PFOA,Perflouorooctanoate,335-67-1,GAC Reactivation,Full,Treatment Media,GAC,,Not reported,Specific treatment temperature not reported. Author indicated the activation process/steam gasification typically occurs between at 1450 deg F and1800 deg F (~780-980 deg C).,,,,,,<0.75 ppt,Leachate sample from reactivated carbon,,"From Table 13.1 (page 17/22). ""The reactivated carbon sample was loaded into a column, was backwashed with approximately 8 bed volumes of NSF42 leaching protocol water (50 ppm total dissolved solids [TDSs], 0.5 ppm Cl-, and pH 6.75), was allowed to sit for 24 hours in 1 BV of water, and then sampled. These steps were repeated two additional times and the three leachate samples were composited for analysis. [...] The carbon used in this trial treated approximately 310 million gallons of drinking water with influent PFAS concentrations ranging from 0.5 to 1 ppb (µg/L)"" (page 16/22).",Matthis et al  2019,,,,0.75,,False,,,True,Perfluorooctanoic acid
PFHpA,Perfluoroheptanoic acid,375-85-9,GAC Reactivation,Full,Treatment Media,GAC,,Not reported,Specific treatment temperature not reported. Author indicated the activation process/steam gasification typically occurs between at 1450 deg F and1800 deg F (~780-980 deg C).,,,,,,<0.22 ppt,Leachate sample from reactivated carbon,,"From Table 13.1 (page 17/22). ""The reactivated carbon sample was loaded into a column, was backwashed with approximately 8 bed volumes of NSF42 leaching protocol water (50 ppm total dissolved solids [TDSs], 0.5 ppm Cl-, and pH 6.75), was allowed to sit for 24 hours in 1 BV of water, and then sampled. These steps were repeated two additional times and the three leachate samples were composited for analysis. [...] The carbon used in this trial treated approximately 310 million gallons of drinking water with influent PFAS concentrations ranging from 0.5 to 1 ppb (µg/L)"" (page 16/22).",Matthis et al  2019,,,,0.22,,False,,,True,Perfluoroheptanoic acid
PFHxA,Perfluorohexanoic acid,307-24-4,GAC Reactivation,Full,Treatment Media,GAC,,Not reported,Specific treatment temperature not reported. Author indicated the activation process/steam gasification typically occurs between at 1450 deg F and1800 deg F (~780-980 deg C).,,,,,,<0.51 ppt,Leachate sample from reactivated carbon,,"From Table 13.1 (page 17/22). ""The reactivated carbon sample was loaded into a column, was backwashed with approximately 8 bed volumes of NSF42 leaching protocol water (50 ppm total dissolved solids [TDSs], 0.5 ppm Cl-, and pH 6.75), was allowed to sit for 24 hours in 1 BV of water, and then sampled. These steps were repeated two additional times and the three leachate samples were composited for analysis. [...] The carbon used in this trial treated approximately 310 million gallons of drinking water with influent PFAS concentrations ranging from 0.5 to 1 ppb (µg/L)"" (page 16/22).",Matthis et al  2019,,,,0.51,,False,,,True,Perfluorohexanoic acid
PFPeA,Perfluoropentanoic acid,2706-90-3,GAC Reactivation,Full,Treatment Media,GAC,,Not reported,Specific treatment temperature not reported. Author indicated the activation process/steam gasification typically occurs between at 1450 deg F and1800 deg F (~780-980 deg C).,,,,,,<0.43 ppt,Leachate sample from reactivated carbon,,"From Table 13.1 (page 17/22). ""The reactivated carbon sample was loaded into a column, was backwashed with approximately 8 bed volumes of NSF42 leaching protocol water (50 ppm total dissolved solids [TDSs], 0.5 ppm Cl-, and pH 6.75), was allowed to sit for 24 hours in 1 BV of water, and then sampled. These steps were repeated two additional times and the three leachate samples were composited for analysis. [...] The carbon used in this trial treated approximately 310 million gallons of drinking water with influent PFAS concentrations ranging from 0.5 to 1 ppb (µg/L)"" (page 16/22).",Matthis et al  2019,,,,0.43,,False,,,True,Perfluoropentanoic acid
PFDS,Perfluorodecyl sulfonate,335-77-3,GAC Reactivation,Full,Treatment Media,GAC,,Not reported,Specific treatment temperature not reported. Author indicated the activation process/steam gasification typically occurs between at 1450 deg F and1800 deg F (~780-980 deg C).,,,,,,<0.28 ppt,Leachate sample from reactivated carbon.,,"From Table 13.1 (page 17/22). ""The reactivated carbon sample was loaded into a column, was backwashed with approximately 8 bed volumes of NSF42 leaching protocol water (50 ppm total dissolved solids [TDSs], 0.5 ppm Cl-, and pH 6.75), was allowed to sit for 24 hours in 1 BV of water, and then sampled. These steps were repeated two additional times and the three leachate samples were composited for analysis. [...] The carbon used in this trial treated approximately 310 million gallons of drinking water with influent PFAS concentrations ranging from 0.5 to 1 ppb (µg/L)"" (page 16/22).",Matthis et al  2019,,,,0.28,,False,,,True,Perfluorodecanesulfonic acid
PFBA,Perfluorobutanoic acid,375-22-4,GAC Reactivation,Full,Treatment Media,GAC,,Not reported,Specific treatment temperature not reported. Author indicated the activation process/steam gasification typically occurs between at 1450 deg F and1800 deg F (~780-980 deg C).,,,,,,1.9 ppt,Leachate sample from reactivated carbon,,"From Table 13.1 (page 17/22). ""The reactivated carbon sample was loaded into a column, was backwashed with approximately 8 bed volumes of NSF42 leaching protocol water (50 ppm total dissolved solids [TDSs], 0.5 ppm Cl-, and pH 6.75), was allowed to sit for 24 hours in 1 BV of water, and then sampled. These steps were repeated two additional times and the three leachate samples were composited for analysis. [...] The carbon used in this trial treated approximately 310 million gallons of drinking water with influent PFAS concentrations ranging from 0.5 to 1 ppb (µg/L)"" (page 16/22).",Matthis et al  2019,,,,1.9,,False,,,True,Perfluorobutanoic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Incineration,Full,Other,Waste spiked with AFFF,1100.0,1.5 hour,Two furnaces. Primary furnace: 1100C; Secondary furnace: 900C. Avg. retention time is 1 - 1.5 hours for solids; 8 seconds for gases.,99.999891%,Destruction and Removal Efficiency,,,,,,,,Japan Environment 2013,90.0,,,,,False,High,Medium,True,Perfluorooctanesulfonic acid
PFHxS,Perfluorohexyl sulfonate,355-46-4,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,3.715 ng,Post-treatment air emissions scrubber water,,"May 2019 Remediation Results and Source Test; page 8, Table ""PFAS in Scrubber and Source Water""",OIT 2020,,,,3.715,,False,,,True,Perfluorohexanesulfonic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,3.88 ng,Post-treatment air emissions scrubber water,,"May 2019 Remediation Results and Source Test; page 8, Table ""PFAS in Scrubber and Source Water""",OIT 2020,,,,3.88,,False,,,True,Perfluorooctanesulfonic acid
PFNA,Perfluorononanoic acid,375-95-1,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,0.788 ng,Post-treatment air emissions scrubber water,,"May 2019 Remediation Results and Source Test; page 8, Table ""PFAS in Scrubber and Source Water""",OIT 2020,,,,0.788,,False,,,True,Perfluorononanoic acid
PFBS,Perfluorobutyl sulfonate,375-73-5,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,1.28 ng,Post-treatment air emissions scrubber water,,"May 2019 Remediation Results and Source Test; page 8, Table ""PFAS in Scrubber and Source Water""",OIT 2020,,,,1.28,,False,,,True,Perfluorobutanesulfonic acid
PFOA,Perflouorooctanoate,335-67-1,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,15.655 ng,Post-treatment air emissions scrubber water,,"May 2019 Remediation Results and Source Test; page 8, Table ""PFAS in Scrubber and Source Water""",OIT 2020,,,,15.655,,False,,,True,Perfluorooctanoic acid
PFHpA,Perfluoroheptanoic acid,375-85-9,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,4.225 ng,Post-treatment air emissions scrubber water,,"May 2019 Remediation Results and Source Test; page 8, Table ""PFAS in Scrubber and Source Water""",OIT 2020,,,,4.225,,False,,,True,Perfluoroheptanoic acid
PFOA,Perflouorooctanoate,335-67-1,Pyrolysis,Not specified,Sludge,Sewage sludge,700.0,3 hour,Biochar from sewage sludge,,,,11.51 ng/g,,10.64 ng/g,,,Table 1,Kim et al 2015,180.0,7.55864465682015,11.51,10.64,,False,High,Medium,True,Perfluorooctanoic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Pyrolysis,Not specified,Sludge,Sewage sludge,700.0,3 hour,Biochar from sewage sludge,,,,4.82 ng/g,,6.28 ng/g,,,Table 1,Kim et al 2015,180.0,0.0,4.82,6.28,,False,High,Medium,True,Perfluorooctanesulfonic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Pyrolysis,Not specified,Sludge,Sewage sludge,300.0,3 hour,Biochar from sewage sludge,,,,4.82 ng/g,,4.86 ng/g,,,Table 1,Kim et al 2015,180.0,0.0,4.82,4.86,,False,Medium,Medium,True,Perfluorooctanesulfonic acid
PFOA,Perflouorooctanoate,335-67-1,Pyrolysis,Not specified,Sludge,Sewage sludge,300.0,3 hour,Biochar from sewage sludge,,,,11.51 ng/g,,12.03 ng/g,,,Table 1,Kim et al 2015,180.0,0.0,11.51,12.03,,False,Medium,Medium,True,Perfluorooctanoic acid
PFOSA,Perfluorooctanesulfonamide,754-91-6,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0044 mg/hr,"May 2018 Test Trial; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0044,False,,,True,Perfluorooctanesulfonamide
PFTeDA,Perfluorotetradecanoic acid,376-06-7,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0031 mg/hr,"May 2018 Test Trial; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0031,False,,,True,Perfluorotetradecanoic acid
PFBS,Perfluorobutyl sulfonate,375-73-5,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0134 mg/hr,"May 2018 Test Trial; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0134,False,,,True,Perfluorobutanesulfonic acid
PFDoA,Perfluorododecanoic acid,307-55-1,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0034 mg/hr,"May 2018 Test Trial; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0034,False,,,True,Perfluorododecanoic acid
PFDA,Perfluorodecanoic acid,335-76-2,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0033 mg/hr,"May 2018 Test Trial; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0033,False,,,True,Perfluorodecanoic acid
PFNA,Perfluorononanoic acid,375-95-1,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0012 mg/hr,"May 2018 Test Trial; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0012,False,,,True,Perfluorononanoic acid
PFHpA,Perfluoroheptanoic acid,375-85-9,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0042 mg/hr,"May 2018 Test Trial; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0042,False,,,True,Perfluoroheptanoic acid
PFOA,Perflouorooctanoate,335-67-1,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0185 mg/hr,"May 2018 Test Trial; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0185,False,,,True,Perfluorooctanoic acid
PFHxA,Perfluorohexanoic acid,307-24-4,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0127 mg/hr,"May 2018 Test Trial; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0127,False,,,True,Perfluorohexanoic acid
PFPeA,Perfluoropentanoic acid,2706-90-3,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0108 mg/hr,"May 2018 Test Trial; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0108,False,,,True,Perfluoropentanoic acid
PFBA,Perfluorobutanoic acid,375-22-4,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0041 mg/hr,"May 2018 Test Trial; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0041,False,,,True,Perfluorobutanoic acid
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0018 mg/hr,"May 2019 Remediation Results and Source Test; corrected for background contamination in the XAD traps; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0018,False,,,True,6:2 Fluorotelomer sulfonic acid
N-MeFOSAA,2-(N-Methylperfluorooctanesulfonamido)acetate,909405-48-7,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0019 mg/hr,"May 2019 Remediation Results and Source Test; corrected for background contamination in the XAD traps; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0019,False,,,True,2-(N-Methylperfluorooctanesulfonamido)acetate
N-EtFOSAA,2-(N-Ethyl-perfluorooctanesulfonamido)acetate,2991-50-6,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0022 mg/hr,"May 2019 Remediation Results and Source Test; corrected for background contamination in the XAD traps; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0022,False,,,True,2-(N-Ethylperfluorooctanesulfonamido)acetic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0031 mg/hr,"May 2019 Remediation Results and Source Test; corrected for background contamination in the XAD traps; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0031,False,,,True,Perfluorooctanesulfonic acid
PFUnA,Perfluoroundecanoic acid,2058-94-8,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0028 mg/hr,"May 2019 Remediation Results and Source Test; corrected for background contamination in the XAD traps; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0028,False,,,True,Perfluoroundecanoic acid
PFHxS,Perfluorohexyl sulfonate,355-46-4,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0016 mg/hr,"May 2019 Remediation Results and Source Test; corrected for background contamination in the XAD traps; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0016,False,,,True,Perfluorohexanesulfonic acid
PFDA,Perfluorodecanoic acid,335-76-2,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0025 mg/hr,"May 2019 Remediation Results and Source Test; corrected for background contamination in the XAD traps; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0025,False,,,True,Perfluorodecanoic acid
PFDoA,Perfluorododecanoic acid,307-55-1,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0029 mg/hr,"May 2019 Remediation Results and Source Test; corrected for background contamination in the XAD traps; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0029,False,,,True,Perfluorododecanoic acid
PFNA,Perfluorononanoic acid,375-95-1,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0037 mg/hr,"May 2019 Remediation Results and Source Test; corrected for background contamination in the XAD traps; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0037,False,,,True,Perfluorononanoic acid
PFHpA,Perfluoroheptanoic acid,375-85-9,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0054 mg/hr,"May 2019 Remediation Results and Source Test; corrected for background contamination in the XAD traps; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0054,False,,,True,Perfluoroheptanoic acid
PFOA,Perflouorooctanoate,335-67-1,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0436 mg/hr,"May 2019 Remediation Results and Source Test; corrected for background contamination in the XAD traps; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0436,False,,,True,Perfluorooctanoic acid
PFHxA,Perfluorohexanoic acid,307-24-4,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0072 mg/hr,"May 2019 Remediation Results and Source Test; corrected for background contamination in the XAD traps; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0072,False,,,True,Perfluorohexanoic acid
PFBA,Perfluorobutanoic acid,375-22-4,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.0044 mg/hr,"May 2019 Remediation Results and Source Test; corrected for background contamination in the XAD traps; from Table ""PFAS Summary of Results,
2018 and 2019 Summary of Results Comparison""",OIT 2020,,,,,0.0044,False,,,True,Perfluorobutanoic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,=0.01 mg/kg,Range of  0.00064 mg/kg and 0.01 mg/kg,=0.00028 mg/kg,,,"May 2019 Remediation Results and Source Test;  5 other PFAS tested for but non-detects; in-text, page 4, section ""Commercial Operations Soil Remediation""",OIT 2020,,97.2,0.01,0.00028,,True,,,True,Perfluorooctanesulfonic acid
F,Fluorine,7782-41-4,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.343 mg/scf,May 2018 Test Trial; 21 PFAS detected in pre-treated soil; 10 PFAS detected in air emissions samples,OIT 2020,,,,,0.343,False,,,False,Fluorine
HF,Hydrogen Fluoride,7664-39-3,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,,,,,00.072 mg/scf,May 2018 Test Trial; 21 PFAS detected in pre-treated soil; 10 PFAS detected in air emissions samples,OIT 2020,,,,,0.072,False,,,False,Hydrogen Fluoride
PFHxS,Perfluorohexyl sulfonate,355-46-4,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,Not reported,,=0.000383 mg/kg,,Not reported,"May 2018 Test Trial; 21 PFAS detected in pre-treated soil; 10 PFAS detected in air emissions samples; in-text, page 2, section ""Post-Treatment Soils Analysis",OIT 2020,,,,0.000383,,False,,,True,Perfluorohexanesulfonic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,7.24 mg/kg,Range of 0.0003 mg/kg to 0.0022 mg/kg,=0.0022 mg/kg,,,"May 2018 Test Trial; 21 PFAS detected in pre-treated soil; 10 PFAS detected in air emissions samples; in-text, page 2, section ""Post-Treatment Analysis""",OIT 2020,,99.9696132596685,7.24,0.0022,,True,,,True,Perfluorooctanesulfonic acid
PFOA,Perflouorooctanoate,335-67-1,Rotary Kiln,Full,Soil,Contaminated soil,,,Kiln temperature and treatment time not stated,,,,0.0765 mg/kg,,Not detected,,,"May 2018 Test Trial; 21 PFAS detected in pre-treated soil; 10 PFAS detected in air emissions samples; in-text, page 2, section ""Pre-Treatment Soils Analysis""",OIT 2020,,100.0,0.0765,0.0,,True,,,True,Perfluorooctanoic acid
PFDA,Perfluorodecanoic acid,335-76-2,Indirect Thermal Desorption,Pilot,Soil,Soil spiked with AFFF,650.0,,Duration not listed,,Percent Removed,,<4.84 µg/kg,,,,,Table 4-12- DT4-2-2,Barranco et al 2020,,,4.84,,,False,High,,True,Perfluorodecanoic acid
N-MeFOSAA,2-(N-Methylperfluorooctanesulfonamido)acetate,909405-48-7,Indirect Thermal Desorption,Pilot,Soil,Soil spiked with AFFF,650.0,,Duration not listed,,Percent Removed,,<4.84 µg/kg,,,,,Table 4-12- DT4-2-2,Barranco et al 2020,,,4.84,,,False,High,,True,2-(N-Methylperfluorooctanesulfonamido)acetate
N-EtFOSAA,2-(N-Ethyl-perfluorooctanesulfonamido)acetate,2991-50-6,Indirect Thermal Desorption,Pilot,Soil,Soil spiked with AFFF,650.0,,Duration not listed,,Percent Removed,,<4.84 µg/kg,,,,,Table 4-12- DT4-2-2,Barranco et al 2020,,,4.84,,,False,High,,True,2-(N-Ethylperfluorooctanesulfonamido)acetic acid
PFTriA,Perfluorotridecanoic acid,72629-94-8,Indirect Thermal Desorption,Pilot,Soil,Soil spiked with AFFF,650.0,,Duration not listed,,Percent Removed,,<4.84 µg/kg,,,,,Table 4-12- DT4-2-2,Barranco et al 2020,,,4.84,,,False,High,,True,Perfluorotridecanoic acid
PFPeA,Perfluoropentanoic acid,2706-90-3,Indirect Thermal Desorption,Pilot,Soil,Soil spiked with AFFF,650.0,,Duration not listed,,Percent Removed,,	=28.3 µg/kg,,,,,Table 4-12- DT4-2-2,Barranco et al 2020,,,28.3,,,False,High,,True,Perfluoropentanoic acid
PFDS,Perfluorodecyl sulfonate,335-77-3,Indirect Thermal Desorption,Pilot,Soil,Soil spiked with AFFF,650.0,,Duration not listed,,Percent Removed,,20.6 µg/kg,,,,,Table 4-12- DT4-2-2,Barranco et al 2020,,,20.6,,,False,High,,True,Perfluorodecanesulfonic acid
PFOSA,Perfluorooctanesulfonamide,754-91-6,Indirect Thermal Desorption,Pilot,Soil,Soil spiked with AFFF,650.0,,Duration not listed,,Percent Removed,,	=1.55 µg/kg,,,,,Table 4-12- DT4-2-2,Barranco et al 2020,,,1.55,,,False,High,,True,Perfluorooctanesulfonamide
FtS 4:2,Fluorotelomer sulfonate 4:2,414911-30-1,Indirect Thermal Desorption,Pilot,Soil,Soil spiked with AFFF,650.0,,Duration not listed,,Percent Removed,,<4.84 µg/kg,,,,,Table 4-12- DT4-2-2,Barranco et al 2020,,,4.84,,,False,High,,True,4:2 Fluorotelomer sulfonate
PFNA,Perfluorononanoic acid,375-95-1,Indirect Thermal Desorption,Pilot,Soil,Soil spiked with AFFF,650.0,,Duration not listed,,Percent Removed,,	=1.55 µg/kg,,,,,Table 4-12- DT4-2-2,Barranco et al 2020,,,1.55,,,False,High,,True,Perfluorononanoic acid
PFHxS,Perfluorohexyl sulfonate,355-46-4,Indirect Thermal Desorption,Pilot,Soil,Soil spiked with AFFF,650.0,,Duration not listed,,Percent Removed,,	=683 µg/kg,,,,,Table 4-12- DT4-2-2,Barranco et al 2020,,,683.0,,,False,High,,True,Perfluorohexanesulfonic acid
PFUnA,Perfluoroundecanoic acid,2058-94-8,Indirect Thermal Desorption,Pilot,Soil,Soil spiked with AFFF,650.0,,Duration not listed,,Percent Removed,,<4.84 µg/kg,,,,,Table 4-12- DT4-2-2,Barranco et al 2020,,,4.84,,,False,High,,True,Perfluoroundecanoic acid
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Indirect Thermal Desorption,Pilot,Soil,Soil spiked with AFFF,650.0,,Duration not listed,,Percent Removed,,99.5 µg/kg,,,,,Table 4-12- DT4-2-2,Barranco et al 2020,,,99.5,,,False,High,,True,6:2 Fluorotelomer sulfonic acid
PFHpA,Perfluoroheptanoic acid,375-85-9,Indirect Thermal Desorption,Pilot,Soil,Soil spiked with AFFF,650.0,,Duration not listed,,Percent Removed,,28.1 µg/kg,,,,,Table 4-12- DT4-2-2,Barranco et al 2020,,,28.1,,,False,High,,True,Perfluoroheptanoic acid
