Analyte_Abbreviation,Chemical_Name,CASRN,Treatment_Process,Test_Scale,Matrix,Matrix_Detail,Treatment_Temp_C,Treatment_Time,Condition_Details,Effectiveness_Percent,Effectiveness_Type,Measure_Details,Initial_Concentration,Initial_Details,Post_Concentration,Post_Details,Offgas_Concentration,Additional_Details,Citation,Treatment_Time_Minutes,Effectiveness_Percent_Numeric,Initial_Concentration_Numeric,Post_Concentration_Numeric,Offgas_Concentration_Numeric,Treatment_Success,Temperature_Category,Time_Category,In_Chemical_List,Standardized_Chemical_Name
PFUnA,Perfluoroundecanoic acid,2058-94-8,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.055 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.02 µg/kg,Below detection limit,,Feed-3-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,63.63636363636365,0.055,0.02,,False,High,Short,True,Perfluoroundecanoic acid
PFUnA,Perfluoroundecanoic acid,2058-94-8,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.082 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.02 µg/kg,Below detection limit,,Feed-2-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,75.60975609756098,0.082,0.02,,False,High,Short,True,Perfluoroundecanoic acid
PFUnA,Perfluoroundecanoic acid,2058-94-8,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.099 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.019 µg/kg,Below detection limit,,Feed-1-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,80.8080808080808,0.099,0.019,,True,High,Short,True,Perfluoroundecanoic acid
PFTeDA,Perfluorotetradecanoic acid,376-06-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.024 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.02 µg/kg,Below detection limit,,Feed-3-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,16.666666666666664,0.024,0.02,,False,High,Short,True,Perfluorotetradecanoic acid
PFTeDA,Perfluorotetradecanoic acid,376-06-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.033 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.02 µg/kg,Below detection limit,,Feed-2-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,39.3939393939394,0.033,0.02,,False,High,Short,True,Perfluorotetradecanoic acid
PFTeDA,Perfluorotetradecanoic acid,376-06-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.046 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.019 µg/kg,Below detection limit,,Feed-1-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,58.69565217391305,0.046,0.019,,False,High,Short,True,Perfluorotetradecanoic acid
PFPeA,Perfluoropentanoic acid,2706-90-3,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,1.99 µg/kg,Analyzed after the TOP assay,<0.02 µg/kg,Below detection limit,,Feed-3-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,98.99497487437185,1.99,0.02,,True,High,Short,True,Perfluoropentanoic acid
PFPeA,Perfluoropentanoic acid,2706-90-3,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,3.74 µg/kg,Analyzed after the TOP assay,<0.02 µg/kg,Below detection limit,,Feed-2-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,99.46524064171123,3.74,0.02,,True,High,Short,True,Perfluoropentanoic acid
PFPeA,Perfluoropentanoic acid,2706-90-3,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,5.43 µg/kg,Analyzed after the TOP assay,<0.019 µg/kg,Below detection limit,,Feed-1-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,99.6500920810313,5.43,0.019,,True,High,Short,True,Perfluoropentanoic acid
PFOSA,Perfluorooctanesulfonamide,754-91-6,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.025 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.019 µg/kg,Below detection limit,,Feed-1-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,24.000000000000007,0.025,0.019,,False,High,Short,True,Perfluorooctanesulfonamide
