Analyte Abv.,Analyte Name,CASRN,Treatment Process,Test Scale,Matrix,Matrix Detail,Treatment Temperature (°C),Treatment Time,Condition Details,Effectiveness (%),Effectiveness Type,Measure Details,Initial Concentration,Initial Details,Post Concentration,Post Details,Offgas Concentration,Additional Details,Citation
Total PFAS,Total Per- and Polyfluorinated Substances,(n/a),Electromagnetic Heating,Lab,Soil,soil spiked with PFAS,845,1 minute,Study looks at degradation efficiency at 60 seconds (845 C at 60 s),100%,Percent Decomposition Efficiency,100% at 60s,,,,,,Figure 4. PFAS in two AFFF samples. No measurable PFAS was found after thermal treatment.,Sun et al 2024
HFPO-TeA,"2,3,3,3-tetrafluoro-2-[1,1,2,3,3,3-hexafluoro-2-[1,1,2,3,3,3-hexafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy)propoxy]propoxy]-propanoic acid",65294-16-8,Electromagnetic Heating,Lab,Soil,soil spiked with PFAS,845,2 minute,Study looks at degradation efficiency over 120 seconds between 500 - 845 C (heating rate of 14.5 degrees C/second via electromagnetic induction; 500 C at 30 s; 845 C at 60 s),100%,Percent Decomposition Efficiency,99.23% (30s) to 100% (120s),0.02 umol,,,,,Figure 2,Sun et al 2024
HFPO-TA,"2,3,3,3-Tetrafluoro-2-(1,1,2,3,3,3-hexafluoro-2-(perfluoropropoxy)propoxy)propanoic acid",13252-14-7,Electromagnetic Heating,Lab,Soil,soil spiked with PFAS,845,2 minute,Study looks at degradation efficiency over 120 seconds between 500 - 845 C (heating rate of 14.5 degrees C/second via electromagnetic induction; 500 C at 30 s; 845 C at 60 s),100%,Percent Decomposition Efficiency,98.26% (30s) to 100% (120s),0.02 umol,,,,,Figure 2,Sun et al 2024
HFPO-DA,Hexafluoropropylene oxide dimer acid,13252-13-6,Electromagnetic Heating,Lab,Soil,soil spiked with PFAS,845,2 minute,Study looks at degradation efficiency over 120 seconds between 500 - 845 C (heating rate of 14.5 degrees C/second via electromagnetic induction; 500 C at 30 s; 845 C at 60 s),100%,Percent Decomposition Efficiency,99.26% (30s) to 100% (120s),0.02 umol,,,,,Figure 2,Sun et al 2024
PFOS,Perfluorooctylsulfonate,1763-23-1,Electromagnetic Heating,Lab,Soil,soil spiked with PFAS,845,2 minute,Study looks at degradation efficiency over 120 seconds between 500 - 845 C (heating rate of 14.5 degrees C/second via electromagnetic induction; 500 C at 30 s; 845 C at 60 s),100%,Percent Decomposition Efficiency,76.48% (60s) to 100% (120s),0.02 umol,,,,,Figure 2,Sun et al 2024
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Electromagnetic Heating,Lab,Soil,soil spiked with PFAS,845,2 minute,Study looks at degradation efficiency over 120 seconds between 500 - 845 C (heating rate of 14.5 degrees C/second via electromagnetic induction; 500 C at 30 s; 845 C at 60 s),99.61%,Percent Decomposition Efficiency,88.77% (60s) to 99.61% (120s),0.02 umol,,,,,Figure 2,Sun et al 2024
PFBS,Perfluorobutyl sulfonate,375-73-5 as acid,Electromagnetic Heating,Lab,Soil,soil spiked with PFAS,845,2 minute,Study looks at degradation efficiency over 120 seconds between 500 - 845 C (heating rate of 14.5 degrees C/second via electromagnetic induction; 500 C at 30 s; 845 C at 60 s),100%,Percent Decomposition Efficiency,82.63% (60s) to 100% (120s),0.02 umol,,,,,Figure 2,Sun et al 2024
PFUnA,Perfluoroundecanoic acid,2058-94-8,Electromagnetic Heating,Lab,Soil,soil spiked with PFAS,845,2 minute,Study looks at degradation efficiency over 120 seconds between 500 - 845 C (heating rate of 14.5 degrees C/second via electromagnetic induction; 500 C at 30 s; 845 C at 60 s),99.97%,Percent Decomposition Efficiency,92.20% (30s) to 99.97% (120s),0.02 umol,,,,,Figure 1,Sun et al 2024
PFDA,Perfluorodecanoic acid,335-76-2,Electromagnetic Heating,Lab,Soil,soil spiked with PFAS,845,2 minute,Study looks at degradation efficiency over 120 seconds between 500 - 845 C (heating rate of 14.5 degrees C/second via electromagnetic induction; 500 C at 30 s; 845 C at 60 s),100%,Percent Decomposition Efficiency,92.80% (30s) to 100% (120s),0.02 umol,,,,,Figure 1,Sun et al 2024
PFNA,Perfluorononanoic acid,375-95-1,Electromagnetic Heating,Lab,Soil,soil spiked with PFAS,845,2 minute,Study looks at degradation efficiency over 120 seconds between 500 - 845 C (heating rate of 14.5 degrees C/second via electromagnetic induction; 500 C at 30 s; 845 C at 60 s),100%,Percent Decomposition Efficiency,91.33% (30s) to 100% (120s),0.02 umol,,,,,Figure 1,Sun et al 2024
PFOA,Perflouorooctanoate,335-67-1,Electromagnetic Heating,Lab,Soil,soil spiked with PFAS,845,2 minute,Study looks at degradation efficiency over 120 seconds between 500 - 845 C (heating rate of 14.5 degrees C/second via electromagnetic induction; 500 C at 30 s; 845 C at 60 s),99.81%,Percent Decomposition Efficiency,90.09% (30s) to 99.81% (120s),0.02 umol,,,,,Figure 1,Sun et al 2024
PFPeA,Perfluoropentanoic acid,2706-90-3,Electromagnetic Heating,Lab,Soil,soil spiked with PFAS,845,2 minute,Study looks at degradation efficiency over 120 seconds between 500 - 845 C (heating rate of 14.5 degrees C/second via electromagnetic induction; 500 C at 30 s; 845 C at 60 s),99.91%,Percent Decomposition Efficiency,89.40% (30s) to 99.91% (120s),0.02 umol,,,,,Figure 1,Sun et al 2024
PFBA,Perfluorobutanoic acid,375-22-4,Electromagnetic Heating,Lab,Soil,soil spiked with PFAS,845,2 minute,Study looks at degradation efficiency over 120 seconds between 500 - 845 C (heating rate of 14.5 degrees C/second via electromagnetic induction; 500 C at 30 s; 845 C at 60 s),100%,Percent Decomposition Efficiency,91.68% (30s) to 100% (120s),0.02 umol,,,,,Figure 1,Sun et al 2024
PFHpA,Perfluoroheptanoic acid,375-85-9,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,2800%,Percent Increase,,,,,,,Addition of red mud; Percent increase interpolated from Figure 6; Pre-existing concentration not reported,Zhang et al 2022
PFHpA,Perfluoroheptanoic acid,375-85-9,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,2400%,Percent Increase,,,,,,,Addition of zeolite; Percent increase interpolated from Figure 6; Pre-existing concentration not reported,Zhang et al 2022
PFHpA,Perfluoroheptanoic acid,375-85-9,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,2500%,Percent Increase,,,,,,,Addition of GAC; Percent increase interpolated from Figure 6; Pre-existing concentration not reported,Zhang et al 2022
PFHpA,Perfluoroheptanoic acid,375-85-9,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,3250%,Percent Increase,,,,,,,Addition of calcium hydroxide; Percent increase interpolated from Figure 6; Pre-existing concentration not reported,Zhang et al 2022
PFHpA,Perfluoroheptanoic acid,375-85-9,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,1800%,Percent Increase,,,,,,,Control; Percent increase interpolated from Figure 6; Pre-existing concentration not reported,Zhang et al 2022
PFHxA,Perfluorohexanoic acid,307-24-4,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,80%,Percent Increase,,,,,,,Addition of red mud; Percent increase interpolated from Figure 6; Pre-existing concentration not reported,Zhang et al 2022
PFHxA,Perfluorohexanoic acid,307-24-4,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,50%,Percent Increase,,,,,,,Addition of GAC; Percent increase interpolated from Figure 6; Pre-existing concentration not reported,Zhang et al 2022
PFHxA,Perfluorohexanoic acid,307-24-4,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,50%,Percent Increase,,,,,,,Addition of zeolite; Percent increase interpolated from Figure 6; Pre-existing concentration not reported,Zhang et al 2022
PFHxA,Perfluorohexanoic acid,307-24-4,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,110%,Percent Increase,,,,,,,Addition of calcium hydroxide; Percent increase interpolated from Figure 6; Pre-existing concentration not reported,Zhang et al 2022
PFHxA,Perfluorohexanoic acid,307-24-4,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,20%,Percent Increase,,,,,,,Control; Percent increase interpolated from Figure 6; Pre-existing concentration not reported,Zhang et al 2022
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,140%,Percent Increase,,36.87 µg/kg,,,,,Addition of red mud; Percent increase interpolated from Figure 4,Zhang et al 2022
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,120%,Percent Increase,,36.87 µg/kg,,,,,Addition of zeolite; Percent increase interpolated from Figure 4,Zhang et al 2022
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,130%,Percent Increase,,36.87 µg/kg,,,,,Addition of GAC; Percent increase interpolated from Figure 4,Zhang et al 2022
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,115%,Percent Increase,,36.87 µg/kg,,,,,Addition of calcium hydroxide; Percent increase interpolated from Figure 4,Zhang et al 2022
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,100%,Percent Increase,,36.87 µg/kg,,,,,Control; Percent increase interpolated from Figure 4,Zhang et al 2022
PFBS,Perfluorobutyl sulfonate,375-73-5 as acid,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,105%,Percent Increase,,182.41 µg/kg,,,,,Addition of red mud; Percent increase interpolated from Figure 4,Zhang et al 2022
PFBS,Perfluorobutyl sulfonate,375-73-5 as acid,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,80%,Percent Increase,,182.41 µg/kg,,,,,Addition of zeolite; Percent increase interpolated from Figure 4,Zhang et al 2022
PFBS,Perfluorobutyl sulfonate,375-73-5 as acid,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,50%,Percent Increase,,182.41 µg/kg,,,,,Addition of GAC; Percent increase interpolated from Figure 4,Zhang et al 2022
PFBS,Perfluorobutyl sulfonate,375-73-5 as acid,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,160%,Percent Increase,,182.41 µg/kg,,,,,Addition of calcium hydroxide; Percent increase interpolated from Figure 4,Zhang et al 2022
PFBS,Perfluorobutyl sulfonate,375-73-5 as acid,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,10%,Percent Increase,,182.41 µg/kg,,,,,Control; Percent increase interpolated from Figure 4,Zhang et al 2022
PFBA,Perfluorobutanoic acid,375-22-4,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,75%,Percent Removed,,,,,,,Addition of red mud; Percent removal interpolated from Figure 6; Pre-existing concentration not reported,Zhang et al 2022
PFBA,Perfluorobutanoic acid,375-22-4,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,75%,Percent Removed,,,,,,,Addition of GAC; Percent removal interpolated from Figure 6; Pre-existing concentration not reported,Zhang et al 2022
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,96%,Percent Removed,,221.31 µg/kg,,,,,Addition of GAC; Percent removal interpolated from Figure 4,Zhang et al 2022
PFBA,Perfluorobutanoic acid,375-22-4,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,81%,Percent Removed,,,,,,,Addition of zeolite; Percent removal interpolated from Figure 6; Pre-existing concentration not reported,Zhang et al 2022
PFBA,Perfluorobutanoic acid,375-22-4,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,84%,Percent Removed,,,,,,,Addition of calcium hydroxide; Percent removal interpolated from Figure 6; Pre-existing concentration not reported,Zhang et al 2022
PFBA,Perfluorobutanoic acid,375-22-4,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,70%,Percent Removed,,,,,,,Control; Percent removal interpolated from Figure 6; Pre-existing concentration not reported,Zhang et al 2022
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,96%,Percent Removed,,221.31 µg/kg,,,,,Addition of red mud; Percent removal interpolated from Figure 4,Zhang et al 2022
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,96%,Percent Removed,,221.31 µg/kg,,,,,Addition of calcium hydroxide; Percent removal interpolated from Figure 4,Zhang et al 2022
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,96%,Percent Removed,,221.31 µg/kg,,,,,Addition of zeolite; Percent removal interpolated from Figure 4,Zhang et al 2022
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Sludge,Spiked wastewater sewage sludge,300,2 hour,,96%,Percent Removed,,221.31 µg/kg,,,,,Control; Percent removal interpolated from Figure 4,Zhang et al 2022
PFBA,Perfluorobutanoic acid,375-22-4,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 5 M of NaOH; Treatment time interpolated from figures,,,,21 ug/L,Interpolated from Figure 2,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 2; Text notes post-concentration below detection limit,Pinkard et al 2023
PFPeA,Perfluoropentanoic acid,2706-90-3,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 5 M of NaOH; Treatment time interpolated from figures,,,,43 ug/L,Interpolated from Figure 2,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 2; Text notes post-concentration below detection limit,Pinkard et al 2023
PFHxA,Perfluorohexanoic acid,307-24-4,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 5 M of NaOH; Treatment time interpolated from figures,,,,119 ug/L,Interpolated from Figure 2,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 2; Text notes post-concentration below detection limit,Pinkard et al 2023
PFHpA,Perfluoroheptanoic acid,375-85-9,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 5 M of NaOH; Treatment time interpolated from figures,,,,19 ug/L,Interpolated from Figure 2,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 2; Text notes post-concentration below detection limit,Pinkard et al 2023
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 5 M of NaOH; Treatment time interpolated from figures,,,,45 ug/L,Interpolated from Figure 2,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 2; Text notes post-concentration below detection limit,Pinkard et al 2023
PFBS,Perfluorobutyl sulfonate,375-73-5 as acid,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 5 M of NaOH; Treatment time interpolated from figures,,,,50 ug/L,Interpolated from Figure 2,11 ug/L,Interpolated from Figure 2,,Data interpolated from Figure 2,Pinkard et al 2023
PFPeS,Perfluoropentanesulfonic acid,2706-91-4,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 5 M of NaOH; Treatment time interpolated from figures,,,,45 ug/L,Interpolated from Figure 2,9 ug/L,Interpolated from Figure 2,,Data interpolated from Figure 2,Pinkard et al 2023
