step,timestamp,phase,phase_count_node,phase_count_graph,avg_loss_last_10,best_loss_so_far,time_in_phase,curriculum_phase
570,1753489438.6697876,graph,143,428,5.68362547159195,0.13518883287906647,0.26115894317626953,1
580,1753489441.06107,node,146,435,4.9503706157207485,0.13518883287906647,0.0,1
590,1753489443.5414522,graph,148,443,5.350104835629463,0.13518883287906647,0.2708089351654053,1
600,1753489445.9702318,node,151,450,6.056614556908608,0.13518883287906647,0.0,1
610,1753489448.4489932,graph,153,458,4.539323115348816,0.13518883287906647,0.25685834884643555,1
620,1753489450.845047,node,156,465,4.991231670975685,0.13518883287906647,0.0,1
630,1753489453.344298,graph,158,473,4.734612295031548,0.13518883287906647,0.25774097442626953,1
640,1753489455.7510908,node,161,480,2075.2491613328457,0.13518883287906647,0.0,1
650,1753489458.219635,graph,163,488,4.211563086509704,0.13518883287906647,0.2881021499633789,1
660,1753489460.5916016,node,166,495,4.3803179413080215,0.13518883287906647,0.0,1
670,1753489463.0752409,graph,168,503,46.90962057709694,0.13518883287906647,0.27613162994384766,1
680,1753489465.4897301,node,171,510,3.3180513948202135,0.13518883287906647,0.0,1
690,1753489467.964368,graph,173,518,3.886919268965721,0.13518883287906647,0.2738032341003418,1
700,1753489470.381668,node,176,525,3.1036757946014406,0.13518883287906647,0.0,1
710,1753489472.865436,graph,178,533,3.8631347954273223,0.13518883287906647,0.2508413791656494,1
720,1753489475.198621,node,181,540,3.169715401530266,0.13518883287906647,0.0,1
