step,timestamp,phase,total_loss,node_loss,graph_loss,energy_loss,learning_rate,steps_per_sec,elapsed_time,weight_node,weight_graph,weight_energy
2016,1753221300.2549694,node,0.21308721601963043,0.0006560265901498497,0.0,0.2124311923980713,0.0001987983283236086,2.989757579170442,9.418337106704712,1.0,1.0,1.0
2017,1753221300.6133652,graph,0.2802032232284546,0.0,0.2802032232284546,0.0,0.0001987983178634589,2.790211153250254,9.776732921600342,1.0,1.0,1.0
2018,1753221301.1124446,graph,0.3664722442626953,0.0,0.3664722442626953,0.0,0.00019879830680558677,2.0036889281041192,10.27581238746643,1.0,1.0,1.0
2019,1753221301.4802628,graph,0.4490138590335846,0.0,0.4490138590335846,0.0,0.00019879829514999229,2.7187350307018483,10.643630504608154,1.0,1.0,1.0
2020,1753221301.8592634,node,2.2261698246002197,0.0005327867111191154,0.0,2.2256369590759277,0.00019879828289667554,2.638517806502588,11.022631168365479,1.0,1.0,1.0
2021,1753221302.2065406,graph,0.23769833147525787,0.0,0.23769833147525787,0.0,0.00019879827004563657,2.8795443592070775,11.369908332824707,1.0,1.0,1.0
2022,1753221302.567871,graph,0.2245287150144577,0.0,0.2245287150144577,0.0,0.00019879825659687545,2.7675493061833154,11.731238842010498,1.0,1.0,1.0
2023,1753221302.9370654,graph,0.2940877676010132,0.0,0.2940877676010132,0.0,0.00019879824255039226,2.708601090207186,12.100433111190796,1.0,1.0,1.0
2024,1753221303.2801502,node,130.11358642578125,0.0008874348714016378,0.0,130.11270141601562,0.00019879822790618712,2.914731181749574,12.443517923355103,1.0,1.0,1.0
2025,1753221303.6499827,graph,0.32430389523506165,0.0,0.32430389523506165,0.0,0.00019879821266426012,2.703926662755691,12.813350439071655,1.0,1.0,1.0
2026,1753221304.0439417,graph,0.26084259152412415,0.0,0.26084259152412415,0.0,0.00019879819682461135,2.538334914886612,13.207309484481812,1.0,1.0,1.0
2027,1753221304.4174116,graph,0.21999013423919678,0.0,0.21999013423919678,0.0,0.00019879818038724087,2.677592460895556,13.580779314041138,1.0,1.0,1.0
2028,1753221304.7508533,node,4.546726226806641,0.0008049834286794066,0.0,4.545921325683594,0.00019879816335214884,2.999024708342033,13.914221048355103,1.0,1.0,1.0
2029,1753221305.0869458,graph,0.4582054316997528,0.0,0.4582054316997528,0.0,0.00019879814571933534,2.975371610741207,14.250313520431519,1.0,1.0,1.0
2030,1753221305.4688177,graph,0.26193246245384216,0.0,0.26193246245384216,0.0,0.00019879812748880044,2.6186789304027567,14.632185459136963,1.0,1.0,1.0
2031,1753221305.8370488,graph,0.3473943769931793,0.0,0.3473943769931793,0.0,0.0001987981086605443,2.715686191989112,15.00041651725769,1.0,1.0,1.0
2032,1753221306.1750271,node,10.829286575317383,0.0009605666273273528,0.0,10.828326225280762,0.00019879808923456703,2.9587692863350603,15.3383948802948,1.0,1.0,1.0
2033,1753221306.5419183,graph,0.3386029303073883,0.0,0.3386029303073883,0.0,0.0001987980692108687,2.725604070044377,15.705286026000977,1.0,1.0,1.0
2034,1753221306.891641,graph,0.28457775712013245,0.0,0.28457775712013245,0.0,0.00019879804858944952,2.8594089483332574,16.05500864982605,1.0,1.0,1.0
2035,1753221307.2617412,graph,0.3548368811607361,0.0,0.3548368811607361,0.0,0.00019879802737030955,2.7019705433118193,16.425108909606934,1.0,1.0,1.0
2036,1753221307.5622456,node,0.2166556864976883,0.0011367258848622441,0.0,0.21551896631717682,0.00019879800555344895,3.327737786286493,16.725613355636597,1.0,1.0,1.0
2037,1753221307.9057958,graph,0.26684579253196716,0.0,0.26684579253196716,0.0,0.00019879798313886786,2.910782717560727,17.06916356086731,1.0,1.0,1.0
